Entity,State,Ownership,"Customers(Count)","Sales(Megawatthours)","Revenues(Thousands Dollars)","Average Price(cents/kWh)"
"LifeEnergy, LLC",DC,Power Marketer,392,"1,763",171.5,9.73
MPower Energy NJ LLC,DC,Power Marketer,824,"4,032",435.7,10.81
Major Energy Electric Services,DC,Power Marketer,"1,742","13,640","1,663.00",12.19
"MidAmerican Energy Services, LLC",DC,Power Marketer,2,705,46.9,6.65
"NextEra Energy Services, LLC",DC,Power Marketer,111,"1,359",126.8,9.33
"Palmco Power DC, LLC",DC,Power Marketer,"1,209","7,773",867,11.15
Park Power LLC,DC,Power Marketer,1,1,0.1,10
Public Power LLC (CT),DC,Power Marketer,"1,044","9,575","1,451.00",15.15
Reliant Energy Northeast LLC,DC,Power Marketer,573,"3,890",457.9,11.77
"Renaissance Power & Gas, Inc.",DC,Power Marketer,496,"4,102",401.5,9.79
"Star Energy Partners, LLC",DC,Power Marketer,"3,836","42,080","4,325.30",10.28
"Starion Energy PA, Inc.",DC,Power Marketer,499,"3,499",595.5,17.02
"Stream Energy Columbia, LLC",DC,Power Marketer,737,"6,639",677.5,10.2
Titan Gas LLC,DC,Power Marketer,134,"1,203",136.4,11.34
Viridian Energy PA LLC,DC,Power Marketer,176,"1,804",246.4,13.66
"WGL Energy Services, Inc.",DC,Power Marketer,"4,329","40,007","3,674.00",9.18
"XOOM Energy Washington DC, LLC",DC,Power Marketer,"1,236","11,753","1,342.00",11.42
Agera Energy LLC,DE,Power Marketer,26,423,32,7.57
"Ambit Energy Holdings, LLC",DE,Power Marketer,646,"6,140",603.7,9.83
Champion Energy Services,DE,Power Marketer,5,138,11,7.97
"CleanChoice Energy, Inc.",DE,Power Marketer,"1,176","11,239","1,296.80",11.54
Clearview Electric Inc.,DE,Power Marketer,"1,104","8,969","1,283.00",14.3
"Commerce Energy, Inc.",DE,Power Marketer,"3,956","47,814","4,950.00",10.35
"Constellation NewEnergy, Inc",DE,Power Marketer,"1,203","82,494","5,108.90",6.19
Direct Energy Services,DE,Power Marketer,"6,450","65,083","6,028.20",9.26
"ENGIE Retail, LLC",DE,Power Marketer,273,"2,792",206.9,7.41
Energy.Me Midwest LLC,DE,Power Marketer,2,44,3,6.82
"First Point Power, LLC",DE,Power Marketer,50,675,82.5,12.22
Liberty Power Corp.,DE,Power Marketer,"1,047","4,750",475,10
"LifeEnergy, LLC",DE,Power Marketer,"3,100","17,219","1,633.50",9.49
"MidAmerican Energy Services, LLC",DE,Power Marketer,7,71,5.8,8.17
"NextEra Energy Services, LLC",DE,Power Marketer,367,"4,244",490.1,11.55
"Palmco Power DE, LLC",DE,Power Marketer,346,"3,195",328,10.27
Reliant Energy Northeast LLC,DE,Power Marketer,"1,264","12,918","1,311.30",10.15
"ResCom Energy, LLC",DE,Power Marketer,80,577,91.7,15.89
"Residents Energy, LLC",DE,Power Marketer,323,"2,870",273.1,9.52
"SmartEnergy Holdings, LLC",DE,Power Marketer,"1,801","16,974","1,885.90",11.11
"Spark Energy, LP",DE,Power Marketer,98,376,31.8,8.46
"Starion Energy PA, Inc.",DE,Power Marketer,109,894,125.2,14
"Stream Energy Delaware, LLC",DE,Power Marketer,641,"7,053",572.9,8.12
Viridian Energy PA LLC,DE,Power Marketer,362,"4,085",526.8,12.9
"WGL Energy Services, Inc.",DE,Power Marketer,"3,259","33,512","2,878.00",8.59
"XOOM Energy Delaware, LLC",DE,Power Marketer,657,"7,774",835,10.74
AEP Energy,IL,Power Marketer,"4,960","52,268","3,388.70",6.48
Agera Energy LLC,IL,Power Marketer,"1,423","17,595",899,5.11
"Alpha Gas and Electric, LLC",IL,Power Marketer,"3,351","8,231",819,9.95
"Ambit Energy Holdings, LLC",IL,Power Marketer,"59,217","473,085","34,410.20",7.27
American Power & Gas,IL,Power Marketer,"1,487","13,697","1,536.50",11.22
Champion Energy Services,IL,Power Marketer,"1,585","13,852","1,149.00",8.29
"CleanChoice Energy, Inc.",IL,Power Marketer,"19,364","120,518","15,365.20",12.75
Clearview Electric Inc.,IL,Power Marketer,"19,697","174,216","17,338.20",9.95
"Commerce Energy, Inc.",IL,Power Marketer,"37,108","348,194","28,669.00",8.23
"Constellation NewEnergy, Inc",IL,Power Marketer,"212,826","1,901,250","132,446.90",6.97
Direct Energy Services,IL,Power Marketer,"62,876","532,232","58,044.50",10.91
"Dynegy Energy Services, LLC",IL,Power Marketer,"225,787","1,971,053","139,363.60",7.07
"ENGIE Retail, LLC",IL,Power Marketer,"4,784","25,610","2,395.20",9.35
"Eligo Energy, LLC",IL,Power Marketer,"30,028","236,966","17,907.30",7.56
Energy Harbor Corp.,IL,Power Marketer,"2,576","30,157","1,950.00",6.47
Energy Plus Holdings LLC,IL,Power Marketer,"12,805","107,341","14,397.80",13.41
"Energy Services Providers, Inc",IL,Power Marketer,"28,717","250,696","22,629.90",9.03
Energy.Me Midwest LLC,IL,Power Marketer,"1,968","23,376","1,803.00",7.71
Entrust Energy,IL,Power Marketer,24,174,14,8.05
Everyday Energy LLC,IL,Power Marketer,577,"4,709",504,10.7
"Frontier Utilities, Inc.",IL,Power Marketer,"5,013","35,917","3,943.60",10.98
"Great American Power, LLC",IL,Power Marketer,"11,175","69,370","7,525.20",10.85
Green Mountain Energy Company,IL,Power Marketer,"16,757","112,561","15,028.60",13.35
"HIKO Energy, LLC",IL,Power Marketer,28,29,4,13.79
Homefield Energy,IL,Power Marketer,"409,001","4,082,340","228,695.10",5.6
"IDT Energy, Inc.",IL,Power Marketer,"12,783","72,779","9,505.60",13.06
"Inspire Energy Holdings, LLC",IL,Power Marketer,"14,434","105,813","10,354.20",9.79
"Interstate Gas Supply, Inc.",IL,Power Marketer,"25,864","206,642","20,748.00",10.04
Josco Energy IL LLC,IL,Power Marketer,781,"4,283",425,9.92
Liberty Power Corp.,IL,Power Marketer,"43,279","276,360","27,492.00",9.95
