2022 Retail Power Marketers Sales- Residential,,,,,,
(Data from form EIA-861 schedule 4B),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
"Agway Energy Services, LLC",MD,Retail Power Marketer,8,71,11.7,16.48
"Alpha Gas and Electric, LLC",MD,Retail Power Marketer,"1,587","12,859","1,672.3",13.00
"Ambit Energy Holdings, LLC",MD,Retail Power Marketer,"8,199","98,614","10,078.0",10.22
American Power & Gas,MD,Retail Power Marketer,888,"12,065","2,117.2",17.55
Astral Energy LLC,MD,Retail Power Marketer,9,221,16.4,7.42
"CleanChoice Energy, Inc.",MD,Retail Power Marketer,"27,191","248,960","47,138.2",18.93
Clearview Electric Inc.,MD,Retail Power Marketer,"3,817","44,327","6,932.6",15.64
"Commerce Energy, Inc.",MD,Retail Power Marketer,"15,517","162,885","19,222.6",11.80
"Constellation NewEnergy, Inc",MD,Retail Power Marketer,"80,612","1,445,166","129,991.2",8.99
Direct Energy Services,MD,Retail Power Marketer,"23,382","260,803","30,712.1",11.78
Discount Power Inc - (CT),MD,Retail Power Marketer,614,"6,628","1,158.9",17.48
ENGIE Power & Gas LLC,MD,Retail Power Marketer,187,"1,865",371.6,19.92
"ENGIE Retail, LLC",MD,Retail Power Marketer,391,"3,934",691.1,17.57
"Eligo Energy, LLC",MD,Retail Power Marketer,"2,309","26,304","4,599.2",17.48
Energy Harbor Corp.,MD,Retail Power Marketer,"2,321","31,820","2,649.2",8.33
Energy Plus Holdings LLC,MD,Retail Power Marketer,"2,022","22,319","3,277.0",14.68
"Energy Services Providers, Inc",MD,Retail Power Marketer,"7,714","76,224","11,224.0",14.73
Energywell LLC,MD,Retail Power Marketer,548,564,108.6,19.26
"First Point Power, LLC",MD,Retail Power Marketer,1,38,6.5,17.11
"Great American Power, LLC",MD,Retail Power Marketer,"1,471","14,801","1,537.9",10.39
Green Mountain Energy Company,MD,Retail Power Marketer,"2,682","27,854","4,315.8",15.49
Greenlight Energy Inc.,MD,Retail Power Marketer,"3,496","34,811","5,503.0",15.81
"Horizon Power and Light, LLC",MD,Retail Power Marketer,803,"12,300","1,463.0",11.89
"IDT Energy, Inc.",MD,Retail Power Marketer,"5,364","45,015","7,854.1",17.45
"Inspire Energy Holdings, LLC",MD,Retail Power Marketer,"34,958","363,618","45,574.0",12.53
"Interstate Gas Supply, Inc.",MD,Retail Power Marketer,"1,696","14,727","1,943.0",13.19
Josco Energy USA LLC,MD,Retail Power Marketer,"1,309","9,248","1,522.8",16.47
Liberty Power Corp.,MD,Retail Power Marketer,119,46,5.2,11.30
MPower Energy NJ LLC,MD,Retail Power Marketer,"5,029","31,242","5,357.4",17.15
Major Energy Electric Services,MD,Retail Power Marketer,"3,252","35,181","5,143.0",14.62
Median Energy Corp.,MD,Retail Power Marketer,380,"1,784",277.8,15.57
"MidAmerican Energy Services, LLC",MD,Retail Power Marketer,489,"7,942",569.4,7.17
"National Gas & Electric, LLC",MD,Retail Power Marketer,"1,272","13,512","2,313.1",17.12
"NextEra Energy Services, LLC",MD,Retail Power Marketer,96,"1,378",127.1,9.22
"Nordic Energy Services, LLC",MD,Retail Power Marketer,478,"3,202",527.2,16.46
"North American Power and Gas, LLC",MD,Retail Power Marketer,"1,725","21,810","3,299.0",15.13
"Palmco Power MD, LLC",MD,Retail Power Marketer,"3,932","26,298","6,282.0",23.89
Park Power LLC,MD,Retail Power Marketer,"2,046","15,570","2,202.4",14.15
Planet Energy,MD,Retail Power Marketer,179,"1,302",89.3,6.86
"Public Power & Utility of Maryland, LLC",MD,Retail Power Marketer,"2,870","61,151","7,041.0",11.51
"RPA Energy, Inc.",MD,Retail Power Marketer,"2,261","15,302","3,022.0",19.75
Reliant Energy Northeast LLC,MD,Retail Power Marketer,"21,601","248,267","34,958.0",14.08
"Rushmore Energy, LLC",MD,Retail Power Marketer,"2,242","21,547","2,393.5",11.11
"SFE Energy Maryland, Inc.",MD,Retail Power Marketer,"10,640","100,610","11,860.0",11.79
"Shipley Choice, LLC",MD,Retail Power Marketer,305,"3,919",501.1,12.79
"SmartEnergy Holdings, LLC",MD,Retail Power Marketer,"5,848","57,929","9,765.6",16.86
"Spark Energy, LP",MD,Retail Power Marketer,"2,279","22,096","3,691.0",16.70
Spring Energy RRH LLC,MD,Retail Power Marketer,"1,352","12,914","2,384.0",18.46
"Star Energy Partners, LLC",MD,Retail Power Marketer,"3,189","22,064","2,553.4",11.57
"Starion Energy PA, Inc.",MD,Retail Power Marketer,24,14,0.9,6.43
StateWise Energy Maryland LLC,MD,Retail Power Marketer,"3,751","37,062","4,423.0",11.93
"Stream Energy Maryland, LLC",MD,Retail Power Marketer,"4,152","48,330","7,434.3",15.38
"SunSea Energy, LLC",MD,Retail Power Marketer,861,"3,941",979.0,24.84
Titan Gas LLC,MD,Retail Power Marketer,"6,575","81,095","9,712.7",11.98
