Entity,State,Ownership,Customers (Count),Sales (Megawatthours),"Revenues (ThousandsDollars)","Average Price(cents/kWh)"
Powervine Energy,PA,Retail Power Marketer,"2,257","30,457","3,315.0",10.88
Public Power LLC (PA),PA,Retail Power Marketer,"2,735","53,375","5,462.1",10.23
"Pure Energy USA, LLC",PA,Retail Power Marketer,"4,430","31,462","9,958.0",31.65
"RPA Energy, Inc.",PA,Retail Power Marketer,"2,279","14,164","3,433.7",24.24
Reliant Energy Northeast LLC,PA,Retail Power Marketer,"137,529","1,298,608","183,879.0",14.16
"Residents Energy, LLC",PA,Retail Power Marketer,"9,123","65,821","11,345.9",17.24
Respond Power LLC,PA,Retail Power Marketer,"17,540","188,004","22,495.0",11.97
"Rushmore Energy, LLC",PA,Retail Power Marketer,"3,243","23,906","2,817.3",11.78
"SFE Energy Pennsylvania, Inc.",PA,Retail Power Marketer,"20,574","150,671","16,268.8",10.80
Santanna Energy Services,PA,Retail Power Marketer,"4,063","70,413","6,567.2",9.33
"Shipley Choice, LLC",PA,Retail Power Marketer,"8,358","81,262","11,133.1",13.70
"SmartEnergy Holdings, LLC",PA,Retail Power Marketer,"41,582","275,495","45,020.1",16.34
South Bay Energy Corp.,PA,Retail Power Marketer,"1,803","13,286","1,727.0",13.00
Spring Energy RRH LLC,PA,Retail Power Marketer,"3,869","26,997","3,377.0",12.51
StateWise Energy Pennsylvania LLC,PA,Retail Power Marketer,"1,678","14,369","1,010.9",7.04
"Stream Energy Pennsylvania, LLC",PA,Retail Power Marketer,"25,212","244,838","35,698.0",14.58
"Summer Energy Midwest, LLC",PA,Retail Power Marketer,53,"1,809",167.9,9.28
"Texpo Power, L.P.",PA,Retail Power Marketer,"1,161","9,534","1,175.0",12.32
The Energy Coop,PA,Cooperative,"2,162","17,647","2,613.3",14.81
Titan Gas LLC,PA,Retail Power Marketer,"29,958","326,046","39,507.2",12.12
Tomorrow Energy Corp.,PA,Retail Power Marketer,"16,740","142,998","26,030.9",18.20
"Town Square Energy East, LLC",PA,Retail Power Marketer,"6,318","72,090","6,792.3",9.42
"TriEagle Energy, L.P.",PA,Retail Power Marketer,"3,242","37,249","4,679.5",12.56
"UGI Energy Services, LLC",PA,Retail Power Marketer,481,"3,818",327.9,8.59
Verde Energy USA,PA,Retail Power Marketer,"28,348","286,876","40,402.0",14.08
Viridian Energy PA LLC,PA,Retail Power Marketer,"1,353","10,670","1,618.4",15.17
"Vista Energy Marketing, L.P.",PA,Retail Power Marketer,"3,259","20,659","3,403.4",16.47
"WGL Energy Services, Inc.",PA,Retail Power Marketer,"8,225","70,345","6,650.0",9.45
"XOOM Energy Pennsylvania, LLC",PA,Retail Power Marketer,"11,597","119,206","13,317.0",11.17
